"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Amyelois.transitella_PA1_RUN4_XGBOOST","PA1","RUN4","XGBOOST","TSS",719,97.143,80.952,0.781,0.407,NA
"Amyelois.transitella_PA1_RUN4_XGBOOST","PA1","RUN4","XGBOOST","AUCroc",720.5,97.143,80.952,0.918,0.708,NA
"Amyelois.transitella_PA1_RUN4_XGBOOST","PA1","RUN4","XGBOOST","KAPPA",872,88.571,84.354,0.604,0.393,NA
"Amyelois.transitella_PA2_RUN1_CTA","PA2","RUN1","CTA","TSS",397,97.143,87.77,0.849,0.148,NA
"Amyelois.transitella_PA2_RUN1_CTA","PA2","RUN1","CTA","AUCroc",392.5,97.143,87.77,0.947,0.574,NA
"Amyelois.transitella_PA2_RUN1_CTA","PA2","RUN1","CTA","KAPPA",834.5,68.571,95.067,0.422,0.097,NA
"Amyelois.transitella_PA2_RUN1_ANN","PA2","RUN1","ANN","TSS",793,97.143,90.647,0.878,0.028,NA
"Amyelois.transitella_PA2_RUN1_ANN","PA2","RUN1","ANN","AUCroc",794.5,97.143,90.647,0.954,0.613,NA
"Amyelois.transitella_PA2_RUN1_ANN","PA2","RUN1","ANN","KAPPA",907,37.143,99.383,0.468,0.199,NA
"Amyelois.transitella_PA2_RUN1_FDA","PA2","RUN1","FDA","TSS",389,80,88.078,0.679,0.12,NA
"Amyelois.transitella_PA2_RUN1_FDA","PA2","RUN1","FDA","AUCroc",341.5,85.714,82.117,0.927,0.528,NA
"Amyelois.transitella_PA2_RUN1_FDA","PA2","RUN1","FDA","KAPPA",552,71.429,94.964,0.427,0.153,NA
"Amyelois.transitella_PA2_RUN1_GAM","PA2","RUN1","GAM","TSS",545,100,93.731,0.937,0.194,NA
"Amyelois.transitella_PA2_RUN1_GAM","PA2","RUN1","GAM","AUCroc",744.5,97.143,95.375,0.977,0.662,NA
"Amyelois.transitella_PA2_RUN1_GAM","PA2","RUN1","GAM","KAPPA",778,94.286,95.992,0.598,0.12,NA
"Amyelois.transitella_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",494,100,97.328,0.973,0.565,NA
"Amyelois.transitella_PA2_RUN1_GBM","PA2","RUN1","GBM","AUCroc",495.5,100,97.328,0.992,0.758,NA
"Amyelois.transitella_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",701,74.286,99.075,0.734,0.569,NA
"Amyelois.transitella_PA2_RUN1_MARS","PA2","RUN1","MARS","TSS",393,100,88.181,0.882,0.083,NA
"Amyelois.transitella_PA2_RUN1_MARS","PA2","RUN1","MARS","AUCroc",461.5,97.143,89.825,0.967,0.466,NA
"Amyelois.transitella_PA2_RUN1_MARS","PA2","RUN1","MARS","KAPPA",906,62.857,97.431,0.517,0.062,NA
"Amyelois.transitella_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","TSS",302,91.429,88.181,0.796,0.074,NA
"Amyelois.transitella_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","AUCroc",302.5,91.429,88.181,0.952,0.455,NA
"Amyelois.transitella_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","KAPPA",622,54.286,98.767,0.583,0.034,NA
"Amyelois.transitella_PA2_RUN1_RF","PA2","RUN1","RF","TSS",378,100,99.794,0.998,0.389,NA
"Amyelois.transitella_PA2_RUN1_RF","PA2","RUN1","RF","AUCroc",379,100,99.794,1,0.6,NA
